title,description,url
AUPHI - Augustana Faculty - Philosophy,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/auphi
AUPHY - Augustana Faculty - Physics,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/auphy
AUPOL - Augustana Faculty - Political Studies,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aupol
AUPSY - Augustana Faculty - Psychology,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aupsy
AUREL - Augustana Faculty - Religion,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aurel
AUSCA - Augustana Faculty - Scandinavian,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/ausca
AUSCI - Augustana Faculty - Science,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/ausci
AUSOC - Augustana Faculty - Sociology,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/ausoc
AUSPA - Augustana Faculty - Spanish,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/auspa
AUSSC - Augustana Faculty - Social Sciences,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/aussc
AUSTA - Augustana Faculty - Statistics,"Offered By:
Augustana Faculty",https://apps.ualberta.ca/catalogue/course/austa
B LAW - Business Law,"Offered By:
Faculty of Business",https://apps.ualberta.ca/catalogue/course/b_law
BIOCH - Biochemistry,"Offered By:
Faculty of Medicine and Dentistry",https://apps.ualberta.ca/catalogue/course/bioch
BIOCM - FSJ - Biochimie,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/biocm
BIOEN - Bioresource Engineering,"Offered By:
Faculty of Agricultural, Life and Environmental Sciences",https://apps.ualberta.ca/catalogue/course/bioen
BIOIN - Bioinformatics,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/bioin
BIOL - Biology,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/biol
BIOLE - FSJ - Biologie,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/biole
BIOPH - Biophysics,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/bioph
BME - Biomedical Engineering,"Offered By:
Faculty of Engineering",https://apps.ualberta.ca/catalogue/course/bme
BOT - Botany,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/bot
BTM - Business Technology Management,"Offered By:
Faculty of Business",https://apps.ualberta.ca/catalogue/course/btm
BUEC - Business Economics,"Offered By:
Faculty of Business",https://apps.ualberta.ca/catalogue/course/buec
BUS - Business,"Offered By:
Faculty of Business",https://apps.ualberta.ca/catalogue/course/bus
C LIT - Comparative Literature,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/c_lit
CATS - Creative Arts Therapies,"Offered By:
St Stephen's College",https://apps.ualberta.ca/catalogue/course/cats
CCALS - CCA - Anglais Langue Seconde,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/ccals
CEDUL - FSJ - Certificat Éducation Leadership,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/cedul
CELL - Cell Biology,"Offered By:
Faculty of Medicine and Dentistry",https://apps.ualberta.ca/catalogue/course/cell
CH E - Chemical Engineering,"Offered By:
Faculty of Engineering",https://apps.ualberta.ca/catalogue/course/ch_e
CHEM - Chemistry,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/chem
CHIM - FSJ - Chimie,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/chim
CHINA - Chinese,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/china
CHRTC - Christian Theology at St Joseph's College,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/chrtc
CHRTP - Christian Theology at St Stephen's College,"Offered By:
St Stephen's College",https://apps.ualberta.ca/catalogue/course/chrtp
CIV E - Civil Engineering,"Offered By:
Faculty of Engineering",https://apps.ualberta.ca/catalogue/course/civ_e
CLASS - Classics,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/class
CME - Chemical and Materials Engineering,"Offered By:
Faculty of Engineering",https://apps.ualberta.ca/catalogue/course/cme
CMPUT - Computing Science,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/cmput
COMM - Communications and Technology,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/comm
CSD - Communication Sciences and Disorders,"Offered By:
Faculty of Rehabilitation Medicine",https://apps.ualberta.ca/catalogue/course/csd
CSL - Community Service-Learning,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/csl
CSSE - FSJ - Certificat Supérieur Sciences de l'Éducation,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/csse
D HYG - Dental Hygiene,"Offered By:
Faculty of Medicine and Dentistry",https://apps.ualberta.ca/catalogue/course/d_hyg
DA - Dental Assisting,"Offered By:
Faculty of Medicine and Dentistry",https://apps.ualberta.ca/catalogue/course/da
DAC - Dance Activity,"Offered By:
Faculty of Kinesiology, Sport, and Recreation",https://apps.ualberta.ca/catalogue/course/dac
DANCE - Dance,"Offered By:
Faculty of Kinesiology, Sport, and Recreation",https://apps.ualberta.ca/catalogue/course/dance
DDS - Dentistry,"Offered By:
Faculty of Medicine and Dentistry",https://apps.ualberta.ca/catalogue/course/dds
DENT - Dentistry,"Offered By:
Faculty of Medicine and Dentistry",https://apps.ualberta.ca/catalogue/course/dent
DES - Design,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/des
DET - FSJ - Doctorat en Études Transdisciplinaires,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/det
DEVDU - FSJ - Developpement Durable,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/devdu
DH - Digital Humanities,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/dh
DRAMA - Drama,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/drama
EAP - English for Academic Purposes,"Offered By:
Faculty of Education",https://apps.ualberta.ca/catalogue/course/eap
EAS - Earth and Atmospheric Sciences,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/eas
EASIA - East Asian Studies,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/easia
ECE - Electrical and Computer Engineering,"Offered By:
Faculty of Engineering",https://apps.ualberta.ca/catalogue/course/ece
ECON - Economics,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/econ
ECONE - FSJ - Economie,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/econe
EDCT - Education - Career Technology Studies,"Offered By:
Faculty of Education",https://apps.ualberta.ca/catalogue/course/edct
EDEL - Education - Elementary,"Offered By:
Faculty of Education",https://apps.ualberta.ca/catalogue/course/edel
EDES - Education - Elementary and Secondary,"Offered By:
Faculty of Education",https://apps.ualberta.ca/catalogue/course/edes
EDFX - Education - Field Experience,"Offered By:
Faculty of Education",https://apps.ualberta.ca/catalogue/course/edfx
EDHS - Master of Education in Health Science Education,"Offered By:
Faculty of Education",https://apps.ualberta.ca/catalogue/course/edhs
EDIT - Education - Instructional Technology,"Offered By:
Faculty of Education",https://apps.ualberta.ca/catalogue/course/edit
EDPS - Education - Policy Studies,"Offered By:
Faculty of Education",https://apps.ualberta.ca/catalogue/course/edps
EDPY - Education - Psychology,"Offered By:
Faculty of Education",https://apps.ualberta.ca/catalogue/course/edpy
EDSE - Education - Secondary,"Offered By:
Faculty of Education",https://apps.ualberta.ca/catalogue/course/edse
EDU - Education,"Offered By:
Faculty of Education",https://apps.ualberta.ca/catalogue/course/edu
EDU F - FSJ - Education - Fondements,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/edu_f
EDU M - FSJ - Education - Methodologie et Curriculum,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/edu_m
EDU P - FSJ - Education - Psychologie,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/edu_p
EDU S - FSJ - Education - Stage,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/edu_s
EN PH - Engineering Physics,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/en_ph
"ENCMP - Engineering, Computer","Offered By:
Faculty of Engineering",https://apps.ualberta.ca/catalogue/course/encmp
ENCS - Environmental and Conservation Sciences,"Offered By:
Faculty of Agricultural, Life and Environmental Sciences",https://apps.ualberta.ca/catalogue/course/encs
ENG M - Engineering Management,"Offered By:
Faculty of Engineering",https://apps.ualberta.ca/catalogue/course/eng_m
"ENGG - Engineering, General","Offered By:
Faculty of Engineering",https://apps.ualberta.ca/catalogue/course/engg
ENGL - English,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/engl
ENT - Entomology,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/ent
ENV E - Environmental Engineering,"Offered By:
Faculty of Engineering",https://apps.ualberta.ca/catalogue/course/env_e
EPE - CCA - Éducation à la petite enfance,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/epe
ET RE - FSJ - Etudes de la religion,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/et_re
ETCAN - FSJ - Etudes canadiennes,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/etcan
ETIN - FSJ - Etudes interdisciplinaires,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/etin
EXAGC - OCE - Applied Geostatistics,"Offered By:
Online and Continuing Education",https://apps.ualberta.ca/catalogue/course/exagc
EXALES - CE - Agricultural Life & Environmental Sciences,"Offered By:
Faculty of Agricultural, Life and Environmental Sciences",https://apps.ualberta.ca/catalogue/course/exales
EXAR - CE - Faculty of Arts,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/exar
EXARE - OCE - Aboriginal Relations Engagement,"Offered By:
Online and Continuing Education",https://apps.ualberta.ca/catalogue/course/exare
EXASB - CE - Alberta School of Business,"Offered By:
Faculty of Business",https://apps.ualberta.ca/catalogue/course/exasb
EXBA - OCE - Business Analysis,"Offered By:
Online and Continuing Education",https://apps.ualberta.ca/catalogue/course/exba
EXCH - Exchange Program,"Offered By:
Examinations and Timetabling

Faculty of Graduate Studies and Research",https://apps.ualberta.ca/catalogue/course/exch
EXCPE - OCE - Continuing and Professional Education,"Offered By:
Online and Continuing Education",https://apps.ualberta.ca/catalogue/course/excpe
EXCST - OCE - Construction Administration,"Offered By:
Online and Continuing Education",https://apps.ualberta.ca/catalogue/course/excst
EXELP - OCE - English Language Program,"Offered By:
Faculty of Education",https://apps.ualberta.ca/catalogue/course/exelp
EXEN - CE - Faculty of Engineering,"Offered By:
Faculty of Engineering",https://apps.ualberta.ca/catalogue/course/exen
EXERM - OCE - Environmental Resource Management,"Offered By:
Online and Continuing Education",https://apps.ualberta.ca/catalogue/course/exerm
EXFRM - CE - Faculty of Rehabilitation Medicine,"Offered By:
Faculty of Rehabilitation Medicine",https://apps.ualberta.ca/catalogue/course/exfrm
EXGEN - OCE - General Studies,"Offered By:
Online and Continuing Education",https://apps.ualberta.ca/catalogue/course/exgen
EXGL - OCE - Global Leadership,"Offered By:
Online and Continuing Education",https://apps.ualberta.ca/catalogue/course/exgl
EXIAPP - OCE - Info Access & Protection of Privacy,"Offered By:
Online and Continuing Education",https://apps.ualberta.ca/catalogue/course/exiapp
EXLDR - OCE - Leadership,"Offered By:
Online and Continuing Education",https://apps.ualberta.ca/catalogue/course/exldr
EXLGP - OCE - Local Government,"Offered By:
Online and Continuing Education",https://apps.ualberta.ca/catalogue/course/exlgp
EXLUP - OCE - Applied Land Use Planning,"Offered By:
Online and Continuing Education",https://apps.ualberta.ca/catalogue/course/exlup
EXMGT - OCE - Business Management,"Offered By:
Online and Continuing Education",https://apps.ualberta.ca/catalogue/course/exmgt
EXNS - CE - Faculty of Native Studies,"Offered By:
Faculty of Native Studies",https://apps.ualberta.ca/catalogue/course/exns
EXOPT - Continuing Education Elective,"Offered By:
Online and Continuing Education",https://apps.ualberta.ca/catalogue/course/exopt
EXOS - OCE - Occupational Health & Safety,"Offered By:
Online and Continuing Education",https://apps.ualberta.ca/catalogue/course/exos
EXPH - CE - Faculty of Pharmacy,"Offered By:
Faculty of Pharmacy and Pharmaceutical Sciences",https://apps.ualberta.ca/catalogue/course/exph
EXRI - OCE - Residential Interiors,"Offered By:
Online and Continuing Education",https://apps.ualberta.ca/catalogue/course/exri
EXSCMA - OCE - Supply Chain Management,"Offered By:
Online and Continuing Education",https://apps.ualberta.ca/catalogue/course/exscma
EXSM - OCE - Social Media,"Offered By:
Online and Continuing Education",https://apps.ualberta.ca/catalogue/course/exsm
EXSPH - CE - School of Public Health,"Offered By:
School of Public Health",https://apps.ualberta.ca/catalogue/course/exsph
EXT - Extension,"Offered By:
Online and Continuing Education",https://apps.ualberta.ca/catalogue/course/ext
F MED - Family Medicine,"Offered By:
Faculty of Medicine and Dentistry",https://apps.ualberta.ca/catalogue/course/f_med
FIN - Finance,"Offered By:
Faculty of Business",https://apps.ualberta.ca/catalogue/course/fin
FOLK - Folklore,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/folk
FOREC - Forest Economics,"Offered By:
Faculty of Agricultural, Life and Environmental Sciences",https://apps.ualberta.ca/catalogue/course/forec
FRANC - FSJ - Français,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/franc
FREN - French Language and Literature,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/fren
FS - Film Studies,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/fs
GENEQ - FSJ - Génétique,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/geneq
GENET - Genetics,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/genet
GEOPH - Geophysics,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/geoph
GERM - German,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/germ
GREEK - Greek,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/greek
GSJ - Gender and Social Justice,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/gsj
GTOTC - CCA - Gestion touristique,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/gtotc
"HADVC - History of Art, Design, and Visual Culture","Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/hadvc
HE ED - Health Education,"Offered By:
Faculty of Kinesiology, Sport, and Recreation",https://apps.ualberta.ca/catalogue/course/he_ed
HEBR - Hebrew,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/hebr
HECOL - Human Ecology,"Offered By:
Faculty of Agricultural, Life and Environmental Sciences",https://apps.ualberta.ca/catalogue/course/hecol
HGEO - Human Geography,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/hgeo
HINDI - Hindi,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/hindi
HIST - History,"Offered By:
Faculty of Arts",https://apps.ualberta.ca/catalogue/course/hist
HISTE - FSJ - Histoire,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/histe
HUME - FSJ - Humanités,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/hume
IMIN - Immunology and Infection,"Offered By:
Faculty of Science",https://apps.ualberta.ca/catalogue/course/imin
IMINE - FSJ - Immunologie,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/imine
INFOR - FSJ - Informatique,"Offered By:
Faculté Saint-Jean",https://apps.ualberta.ca/catalogue/course/infor
